Param,Total Time,Alg,Avg Time Block,Profit,Transactions,Size
Greed,1.002,0,0.004,1340.4585,2457,999925
Greed Advice - 0.00139,1.108,1,0.011,1921.5,2886,999874
Heap (Sorting),2.858,2,0.110,1930.8649,2944,999041
"[100,100,1000,0.0015]",1.908,3,0.005,1931.8096,2988,999864
"[100,200,1000,0.0015]",1.967,3,0.005,1931.9054,2991,999906
"[100,300,1000,0.0015]",2.008,3,0.005,1931.8661,2991,999878
"[100,400,1000,0.0015]",2.080,3,0.005,1931.9054,2991,999906
"[200,100,1000,0.0015]",2.309,3,0.008,1931.9428,2948,999819
"[200,200,1000,0.0015]",2.425,3,0.008,1932.0181,2946,999870
"[200,300,1000,0.0015]",2.508,3,0.008,1932.1963,2949,999997
"[200,400,1000,0.0015]",2.600,3,0.008,1932.1213,2948,999941
"[300,100,1000,0.0015]",2.696,3,0.012,1932.0752,2946,999912
"[300,200,1000,0.0015]",2.867,3,0.012,1932.1186,2948,999940
"[300,300,1000,0.0015]",3.253,3,0.013,1932.0721,2948,999907
"[300,400,1000,0.0015]",3.455,3,0.013,1932.1213,2948,999941
"[400,100,1000,0.0015]",3.268,3,0.016,1931.9811,2944,999846
"[400,200,1000,0.0015]",3.350,3,0.015,1932.1603,2945,999970
"[400,300,1000,0.0015]",3.620,3,0.016,1932.0701,2948,999905
"[400,400,1000,0.0015]",3.869,3,0.016,1932.1213,2948,999941